שייףהאמ,38,18318.637148004702
מצץ,30,137302.19137023963
‎‏üטצ,41,128999.62544010223
רףץיבטר,26,85814.29054180255
ÿשעףי,62,103653.02601836824
ןד¸,58,147884.426296276
ü,36,63581.39331317291
נעתסי,36,21627.24956286868
לרטעםמש,41,34076.741792798246
ל‏‏ץשזק,34,21613.80188142977
כטלוü,44,75394.48863563783
ך,34,70375.13089135509
מט‎תסצדדהו,40,45050.1552417711
םה,28,23958.229328244957
בחפן,30,135083.46767202934
ףטûקט‏סו,40,61764.83181264434
בךדמüץצאמ,26,23836.84931111458
נץםרהצ,49,109280.28582055702
¸רûלûןכ,46,97085.74581518094
עאןןהלדןü¸,39,117962.30291540289
‏לם,62,113023.02691820136
הךמÿג,36,78478.42222329463
ÿ¸‏¸בש,29,19090.10140733926
טתü,60,21204.060043918304
לטטדגחץ¸תי,57,126898.48682868521
ךשקטנץ‏פÿמÿ,20,95447.01930033797
עדסÿדע,42,16022.199503088565
ףםפÿמזע,60,131665.4844820493
נ,32,134233.09430766758
¸אישםםפחהû,34,59413.48997544394
ז,40,120326.52242952888
ז,38,147871.76581172264
גמץחנכה‏מ,53,89259.29581348665
בק,65,85715.558125995
הÿזימ,57,59524.09641371074
מגראץבף,65,126303.6801863291
ף‎,61,103928.63891951351
נ,35,59008.06208854293
ךüסüהן,28,78002.06848863114
עגצץזכÿןףמס,63,99596.1246936173
י,22,71060.59482310794
¸ÿאיירץהד¸,32,130992.66068157012
ןקת,19,36793.36284599896
עלûף,62,134569.43249826255
קאגץך¸üסרפ,52,54348.73804404026
גג,39,116717.4972624606
נצנדזאטףטצצ,27,36720.08287462727
גמם‎נפמסקû,57,78376.60102429125
םעידןצפמ¸כט,26,81343.86195204142
יתכשךסזחכהס,53,65285.25101343807
ף,58,109615.76105015312
פü¸ר,25,132528.9846250201
סלחו¸חךרלףÿ,39,65080.29490686479
זסרÿט¸עזרס,38,75032.128139326
ף,54,145122.36581175582
ץרף,53,141090.01541109435
תםטט,34,48852.811805192345
טפמ,51,52702.41712485261
כÿכחךלüם‏û,49,100447.40057941015
ם¸בךûקת,21,75528.8499289589
ÿועףףפ‏שם,47,116587.21172459103
זפג,27,58566.75814681473
ם,49,128202.0921393763
ÿץהצחמןיהר,53,36667.17140650283
מהןן,28,86138.81474723411
טהתüז,56,73722.63699135747
נכךחת‏גץסלב,20,77967.8397082914
ףאתדגÿת,47,99370.14957210842
‎דב,35,95730.31912759162
לסתקש,25,37612.97120838016
כלû‎םפ,45,16954.720504224515
אש,54,131927.33919048903
‎םנדמלכ‏,30,107879.34318272676
יא,31,67280.76704655995
מ,65,55704.76834796638
סגםךט,25,23612.45413247862
ןץר‏ר¸מש‏קס,25,149123.13270099595
טםחןנחן,52,134330.6800466568
‎,37,121329.78863719909
ÿûכאץûûםה,18,95028.38625214648
סûפז‏זט,34,131109.18827319998
סצÿחספה,30,86741.20650220587
וûח,19,96469.50537114679
הססו‎אג‏ü,50,107522.18876164938
ז,18,94360.46942566727
ב‏ע,56,42036.39012769366
כזצףÿך,50,57914.59127033851
ג¸היםמגפ,47,149349.99506214235
ןהטÿגûוש,29,63096.06583117855
‏ÿץü‎ÿנןמצ,21,18569.836422768698
¸ב,23,74200.44620982207
נךהתקןרבÿר,53,146246.28039598934
ןÿתטûח,30,45033.77151283731
יבאעהםüךצ,40,143508.88333751442
כתפ,44,68592.54672164899
לנגמûסנ,44,85449.17946958609
רג,45,64200.52267437507
שחכללם,37,146715.04903742738
סורכÿ,62,81759.31400385083
üנצף‏,27,41085.31873738205
כךתהכ,34,21263.555320099087
ןודüמזיהףנז,18,66586.69430264692
ער,59,139054.43984140502
ו,30,148663.45380528175
חןלת,41,85079.06307247811
רד‎נףףלבןס,45,43350.884055406335
הנÿרמף,32,120596.05863045198
צ‎ûץ‎üד,21,96793.19039022845
ûץטûמהטףר,34,22652.364290514084
üפעםפמסך,21,33986.43754992578
ר‏‏ץנ‎¸,22,25526.06573982071
¸גןנצתûנפ,35,62663.764783311606
ÿנ,45,100409.3953112438
בד,21,140799.63765882447
‏¸לז,43,76624.8283569942
תקליילר¸וה,38,75901.03423379964
פûעדיצ,24,98575.46034997712
רולןיק,24,41192.95378550671
םבזהךגנכ,45,79298.06364759264
אצרדסט,18,149142.93979265398
אטשט¸ÿחף,44,52545.14520988364
כתלזמ,26,55491.890703659315
זפ¸קפכ‎ûûממ,34,47053.63628485829
ûפ,51,35925.8157427851
וךח‏ךיחעזקü,44,64767.46598405854
דלא,31,107595.22981631459
פז¸,37,35504.02295880853
ט‏בכן,32,33595.25275984789
בנ,42,113447.70062404752
שןמסÿפדדמנ,33,46515.45493246694
ביעד‎‏נסה,59,107395.81494515184
סין,62,83793.7300766532
צ,65,112647.46538927962
מרב,42,15479.449561235584
ךüצ¸ץחר,19,62029.453823141106
זטארüטם,36,138023.34292913708
נ,46,98189.70970524842
פ,32,123843.23193059849
פש,39,130850.79213447135
כבÿןמו,18,105960.06495293447
üףק,63,57797.04189695995
גםנ,26,86673.43402247182
ףדחג¸ÿ‎üושר,33,116355.20206952335
כץת‏אלפעד,40,118349.79296992197
רתזך,50,105832.41945783362
םע‏נûכ‏,25,82821.73660943581
גüזפגצש¸חךת,47,101620.82112915246
שככר¸‎זחלûר,43,90483.58141376036
רםזר‏פשם,59,43496.778239001695
‏,26,71577.01876064323
כבלתץהעםרע,38,43001.113120308495
ן,37,36606.793504062836
הזויצץיהץ¸ע,41,127821.9231622345
ףסךץש,59,98691.69014247158
‎ÿגמ¸לûקכ,31,128178.06655414238
ת¸לופ,44,118748.69762341131
‏ליב,32,47322.964037925165
ף,49,56451.3329794984
שאצא¸,47,43855.09341977806
יוךץûטלצכדס,37,115173.66039445395
הצזÿהטמ‏,32,101463.21159827182
הץהץף‏יצנא,64,103202.3582594268
ץüדףÿר,35,76543.7274609158
וקבפאהפדךז,24,123966.55089667883
‏ימ,46,61481.0826206567
יכדÿאבותפ,50,60469.85644421382
לÿמיץ‏,21,129104.36353047466
םÿ,47,118097.36724159941
ÿדהגעץדכל,31,111105.94631267928
כ,24,73000.84432741684
ב¸ךו‏¸ח,24,149731.00863006373
‎וÿפםףוûו,65,72770.02095103973
םהמאאר,45,139987.6560172301
ם‏ט,48,82066.53807607028
